time[sec],EARTH_pos_i(X)[m],EARTH_pos_i(Y)[m],EARTH_pos_i(Z)[m],EARTH_vel_i(X)[m/s],EARTH_vel_i(Y)[m/s],EARTH_vel_i(Z)[m/s],SUN_pos_i(X)[m],SUN_pos_i(Y)[m],SUN_pos_i(Z)[m],SUN_vel_i(X)[m/s],SUN_vel_i(Y)[m/s],SUN_vel_i(Z)[m/s],MOON_pos_i(X)[m],MOON_pos_i(Y)[m],MOON_pos_i(Z)[m],MOON_vel_i(X)[m/s],MOON_vel_i(Y)[m/s],MOON_vel_i(Z)[m/s],omega_true_b(X)[rad/s],omega_true_b(Y)[rad/s],omega_true_b(Z)[rad/s],quaternion_true_i2b(0)[-],quaternion_true_i2b(1)[-],quaternion_true_i2b(2)[-],quaternion_true_i2b(3)[-],torque_true_b(X)[Nm],torque_true_b(Y)[Nm],torque_true_b(Z)[Nm],h_total[Nms],k_sc[J],sat_position_i(X)[m],sat_position_i(Y)[m],sat_position_i(Z)[m],sat_velocity_i(X)[m/s],sat_velocity_i(Y)[m/s],sat_velocity_i(Z)[m/s],sat_velocity_b(X)[m/s],sat_velocity_b(Y)[m/s],sat_velocity_b(Z)[m/s],sat_acc_i_i(X)[m/s^2],sat_acc_i_i(Y)[m/s^2],sat_acc_i_i(Z)[m/s^2],lat[rad],lon[rad],alt[m],mag_i(X)[nT],mag_i(Y)[nT],mag_i(Z)[nT],mag_b(X)[nT],mag_b(Y)[nT],mag_b(Z)[nT],sr_pressure[N/m^2],shadow coefficient,EARTH_pos_b(X)[m],EARTH_pos_b(Y)[m],EARTH_pos_b(Z)[m],EARTH_vel_b(X)[m/s],EARTH_vel_b(Y)[m/s],EARTH_vel_b(Z)[m/s],SUN_pos_b(X)[m],SUN_pos_b(Y)[m],SUN_pos_b(Z)[m],SUN_vel_b(X)[m/s],SUN_vel_b(Y)[m/s],SUN_vel_b(Z)[m/s],MOON_pos_b(X)[m],MOON_pos_b(Y)[m],MOON_pos_b(Z)[m],MOON_vel_b(X)[m/s],MOON_vel_b(Y)[m/s],MOON_vel_b(Z)[m/s],ggtorque_b(X)[Nm],ggtorque_b(Y)[Nm],ggtorque_b(Z)[Nm],srp_torque_b(X)[Nm],srp_torque_b(Y)[Nm],srp_torque_b(Z)[Nm],srp_force_b(X)[N],srp_force_b(Y)[N],srp_force_b(Z)[N],airdrag_torque_b(X)[Nm],airdrag_torque_b(Y)[Nm],airdrag_torque_b(Z)[Nm],airdrag_force_b(X)[N],airdrag_force_b(Y)[N],airdrag_force_b(Z)[N],rmm_b(X)[Am^2],rmm_b(Y)[Am^2],rmm_b(Z)[Am^2],mag_dist_torque_b(X)[Nm],mag_dist_torque_b(Y)[Nm],mag_dist_torque_b(Z)[Nm],acc_thirdbody_i(X)[m/s2],acc_thirdbody_i(Y)[m/s2],acc_thirdbody_i(Z)[m/s2],a_geop_ecef(X)[m/s2],a_geop_ecef(Y)[m/s2],a_geop_ecef(Z)[m/s2],Sun in forbidden angle[],Earth in forbidden angle[],Moon in forbidden angle[],sun_pos_imgsensor_ (0)[pix],sun_pos_imgsensor_ (1)[pix],earth_pos_imgsensor_ (0)[pix],earth_pos_imgsensor_ (1)[pix],moon_pos_imgsensor_ (0)[pix],moon_pos_imgsensor_ (1)[pix],quaternion_STT0_i2c(0)[-],quaternion_STT0_i2c(1)[-],quaternion_STT0_i2c(2)[-],quaternion_STT0_i2c(3)[-],STT error flag0,STIM210_c(X)[deg/s],STIM210_c(Y)[deg/s],STIM210_c(Z)[deg/s],gyro_omega2_c(X)[rad/s],gyro_omega2_c(Y)[rad/s],gyro_omega2_c(Z)[rad/s],mag_sensor2_c(X)[nT],mag_sensor2_c(Y)[nT],mag_sensor2_c(Z)[nT],RM3100_c(X)[nT],RM3100_c(Y)[nT],RM3100_c(Z)[nT],RM3100_c(X)[nT],RM3100_c(Y)[nT],RM3100_c(Z)[nT],NanoSSOC D601_c(X)[-],NanoSSOC D601_c(Y)[-],NanoSSOC D601_c(Z)[-],sun_detected_flag1[-],NanoSSOC D602_c(X)[-],NanoSSOC D602_c(Y)[-],NanoSSOC D602_c(Z)[-],sun_detected_flag2[-],NanoSSOC D603_c(X)[-],NanoSSOC D603_c(Y)[-],NanoSSOC D603_c(Z)[-],sun_detected_flag3[-],NanoSSOC D604_c(X)[-],NanoSSOC D604_c(Y)[-],NanoSSOC D604_c(Z)[-],sun_detected_flag4[-],MTQ_seiren1_b(X)[Am^2],MTQ_seiren1_b(Y)[Am^2],MTQ_seiren1_b(Z)[Am^2],MTQ_seiren1_b(X)[Nm],MTQ_seiren1_b(Y)[Nm],MTQ_seiren1_b(Z)[Nm],RW0003_angular_velocity[rad/s],RW0003_angular_velocity_rpm[rpm],RW0003_angular_velocity_upperlimit[rpm],RW0003_angular_acceleration[rad/s^2],RW0003_angular_velocity[rad/s],RW0003_angular_velocity_rpm[rpm],RW0003_angular_velocity_upperlimit[rpm],RW0003_angular_acceleration[rad/s^2],RW0003_angular_velocity[rad/s],RW0003_angular_velocity_rpm[rpm],RW0003_angular_velocity_upperlimit[rpm],RW0003_angular_acceleration[rad/s^2],OEM7600_year,OEM7600_month,OEM7600_day,OEM7600_hour,OEM7600_min,OEM7600_sec,OEM7600_posXYZ_ECEF(X)[m],OEM7600_posXYZ_ECEF(Y)[m],OEM7600_posXYZ_ECEF(Z)[m],OEM7600_velXYZ_ECEF(X)[m/s],OEM7600_velXYZ_ECEF(Y)[m/s],OEM7600_velXYZ_ECEF(Z)[m/s],OEM7600_lat[rad],OEM7600_lon[rad],OEM7600_alt[m],OEM7600vis_flag,OEM7600vis_num,TH1thrust_b(X)[N],TH1thrust_b(Y)[N],TH1thrust_b(Z)[N],TH1torque_b(X)[Nm],TH1torque_b(Y)[Nm],TH1torque_b(Z)[Nm],TH1thrust[N],
0,0,0,0,0,0,0,-9.7122e+09,-1.34771e+11,-5.8422e+10,30212.7,-1708.63,-742.008,-3.57553e+08,-1.3158e+08,-4.34589e+07,430.844,-812.034,-447.833,0,0.008,0,0.5,0.5,0.5,-0.5,0,-0,0,0.0024,9.6e-06,3270944.726598972,3523242.09509145,-4754561.035474907,-3119.161087,6484.878138,2660.282072,2660.282072,-3119.161087,6484.878138,0,0,0,-0.783022,2.44419,393983,0,0,0,0,0,0,4.55649e-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0,0,0,-0,0,0,0,0,0,1,1,1,-1,-1,-1,-1,-1,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8500,0,0,0,8500,0,0,0,8500,0,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.5,0,0,0,0,0,0,-9.71218e+09,-1.34771e+11,-5.8422e+10,30212.7,-1708.62,-742.007,-3.57553e+08,-1.3158e+08,-4.34592e+07,430.845,-812.034,-447.833,8.14475e-07,0.00799585,5.76086e-06,0.49914,0.499139,0.500859,-0.500859,2.34696e-07,-2.29414e-06,2.07911e-06,0.00239876,9.59005e-06,3269603.084855335,3526030.193711982,-4753416.538048122,-3120.970494,6482.928006,2662.920015,2640.605169,-3120.972959,6492.04802,6.403111035e-09,9.997817968e-08,4.550336756e-08,-0.782784,2.44475,393978,28821.2,34980.8,-26308.5,-26397.9,28821.3,34913.3,4.70542e-06,1,4.76271e+06,-3.26995e+06,-3.51314e+06,-28792,-34909.7,-6538.79,-5.80721e+10,-9.71542e+09,-1.34924e+11,-7.76023e+07,4.66556e+08,-201883,-3.83597e+07,-3.60823e+08,-1.35204e+08,-2.88838e+06,312445,-13048.5,-9.72016e-08,-2.10228e-23,-1.31775e-07,-1.16072e-08,6.94515e-08,-5.1451e-12,5.41911e-07,7.68368e-08,1.20161e-06,0,0,0,0,0,0,0.0354831,0.0450121,0.0426079,3.43505e-07,-2.36359e-06,2.21089e-06,-0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8500,0,0,0,8500,0,0,0,8500,0,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,-9.71217e+09,-1.34771e+11,-5.8422e+10,30212.7,-1708.62,-742.006,-3.57553e+08,-1.3158e+08,-4.34594e+07,430.846,-812.033,-447.833,6.43226e-07,0.00798987,1.3053e-05,0.498039,0.498036,0.501953,-0.501957,-4.33079e-07,-3.02866e-06,2.18134e-06,0.00239696,9.57571e-06,3267885.98542951,3529594.961495965,-4751951.067799805,-3123.283656,6480.431524,2666.293037,2615.416371,-3123.296798,6501.125012,6.412159146e-09,1.001146333e-07,4.546543568e-08,-0.782479,2.44548,393971,28794.5,35014.6,-26276.7,-26519.5,28794.6,34831,4.70542e-06,1,4.77666e+06,-3.26826e+06,-3.49574e+06,-28733.6,-34893.9,-6638.04,-5.74783e+10,-9.71521e+09,-1.35178e+11,-7.75173e+07,4.65247e+08,-483686,-3.77682e+07,-3.60821e+08,-1.35375e+08,-2.88621e+06,311275,-23127.5,-9.66701e-08,-1.7851e-23,-1.32092e-07,-1.16288e-08,6.88708e-08,-5.09239e-12,5.36156e-07,7.69431e-08,1.20561e-06,0,0,0,0,0,0,0.0441123,0.0393386,0.0588645,-3.2478e-07,-3.09753e-06,2.31344e-06,-0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8500,0,0,0,8500,0,0,0,8500,0,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,-9.71216e+09,-1.34771e+11,-5.8422e+10,30212.7,-1708.62,-742.005,-3.57552e+08,-1.31581e+08,-4.34596e+07,430.848,-812.033,-447.833,2.09821e-06,0.00798561,1.94365e-05,0.497158,0.497151,0.502826,-0.502833,1.23954e-06,-2.62394e-06,3.1276e-06,0.00239569,9.56554e-06,3266511.390024938,3532445.786922831,-4750777.35603849,-3125.133315,6478.432519,2668.99071,2595.249614,-3125.161801,6508.310127,6.419312641e-09,1.002229891e-07,4.543563282e-08,-0.782235,2.44606,393965,28773,35041.7,-26251.2,-26616.4,28773.4,34764.8,4.70542e-06,1,4.78775e+06,-3.26691e+06,-3.48179e+06,-28686,-34882.3,-6715.07,-5.70029e+10,-9.71488e+09,-1.35379e+11,-7.73978e+07,4.642e+08,-729272,-3.72958e+07,-3.60819e+08,-1.3551e+08,-2.88446e+06,310343,-31158,-9.62448e-08,-7.57555e-24,-1.32345e-07,-1.16458e-08,6.84028e-08,-5.05009e-12,5.31544e-07,7.70258e-08,1.20879e-06,0,0,0,0,0,0,0.0451274,0.0736945,0.0422106,1.34743e-06,-2.69234e-06,3.25995e-06,-0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8500,0,0,0,8500,0,0,0,8500,0,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,-9.71214e+09,-1.34771e+11,-5.8422e+10,30212.7,-1708.62,-742.003,-3.57552e+08,-1.31581e+08,-4.34598e+07,430.849,-812.032,-447.832,2.27598e-06,0.00797929,2.73973e-05,0.496056,0.496044,0.503912,-0.503927,-8.45169e-08,-3.46324e-06,2.81177e-06,0.00239379,9.55044e-06,3264791.875908641,3536008.341593423,-4749308.440045809,-3127.444467,6475.931306,2672.362118,2570.020801,-3127.498066,6517.19751,6.428162537e-09,1.003574156e-07,4.539905108e-08,-0.78193,2.44678,393959,28746.2,35075.4,-26219.4,-26737.1,28746.9,34681.8,4.70542e-06,1,4.80154e+06,-3.26526e+06,-3.46431e+06,-28624,-34868.2,-6807.11,-5.6408e+10,-9.71435e+09,-1.35628e+11,-7.72085e+07,4.62753e+08,-1.04069e+06,-3.67065e+07,-3.60817e+08,-1.35676e+08,-2.88204e+06,309062,-40887.2,-9.57132e-08,2.06296e-23,-1.32659e-07,-1.16665e-08,6.78134e-08,-4.99711e-12,5.25768e-07,7.71267e-08,1.21271e-06,0,0,0,0,0,0,0.0597253,0.0459105,0.0545935,2.28628e-08,-3.53105e-06,2.94443e-06,-0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8500,0,0,0,8500,0,0,0,8500,0,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,-9.71212e+09,-1.34771e+11,-5.8422e+10,30212.7,-1708.61,-742.002,-3.57552e+08,-1.31582e+08,-4.34601e+07,430.85,-812.032,-447.832,2.89998e-06,0.00797481,3.34209e-05,0.495174,0.495155,0.504778,-0.5048,3.81769e-07,-2.42541e-06,2.31459e-06,0.00239245,9.53976e-06,3263415.450244268,3538857.186122718,-4748132.058367411,-3129.292381,6473.928662,2675.058302,2549.822692,-3129.372982,6524.230914,6.435164285e-09,1.004641195e-07,4.537034186e-08,-0.781685,2.44736,393953,28724.8,35102.4,-26193.9,-26833.3,28725.9,34615.1,4.70542e-06,1,4.81251e+06,-3.26395e+06,-3.4503e+06,-28575.3,-34855.9,-6882.8,-5.59317e+10,-9.71376e+09,-1.35825e+11,-7.71027e+07,4.61621e+08,-1.27058e+06,-3.62359e+07,-3.60815e+08,-1.35807e+08,-2.8801e+06,308073,-48711.3,-9.52878e-08,-3.44701e-23,-1.32908e-07,-1.16828e-08,6.73385e-08,-4.95462e-12,5.21141e-07,7.72051e-08,1.21583e-06,0,0,0,0,0,0,0.0392999,0.0491398,0.0422004,4.88739e-07,-2.49274e-06,2.44751e-06,-0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8500,0,0,0,8500,0,0,0,8500,0,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,-9.71211e+09,-1.34771e+11,-5.8422e+10,30212.7,-1708.61,-742.001,-3.57552e+08,-1.31582e+08,-4.34603e+07,430.852,-812.031,-447.832,4.53136e-06,0.00796896,4.19289e-05,0.49407,0.494043,0.505857,-0.50589,8.03636e-07,-2.70804e-06,2.8833e-06,0.0023907,9.52582e-06,3261693.775122817,3542417.002054483,-4746659.913343786,-3131.601182,6471.423084,2678.427599,2524.555452,-3131.721622,6532.928635,6.443809518e-09,1.005964412e-07,4.533515314e-08,-0.78138,2.44809,393946,28697.9,35136,-26161.9,-26953.1,28699.6,34531.4,4.70542e-06,1,4.82613e+06,-3.26233e+06,-3.43275e+06,-28512.3,-34843.2,-6971.4,-5.53357e+10,-9.71289e+09,-1.36069e+11,-7.68432e+07,4.60182e+08,-1.60584e+06,-3.56488e+07,-3.60812e+08,-1.35968e+08,-2.87764e+06,306816,-58384.2,-9.47562e-08,1.94238e-23,-1.33218e-07,-1.17027e-08,6.67407e-08,-4.90138e-12,5.15347e-07,7.73005e-08,1.21968e-06,0,0,0,0,0,0,0.0441674,0.0648883,0.0463627,9.10095e-07,-2.77478e-06,3.01652e-06,-0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8500,0,0,0,8500,0,0,0,8500,0,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,-9.71209e+09,-1.34771e+11,-5.8422e+10,30212.7,-1708.61,-742,-3.57552e+08,-1.31582e+08,-4.34605e+07,430.853,-812.031,-447.832,5.55283e-06,0.00796535,4.71704e-05,0.493187,0.493151,0.506717,-0.506761,6.80607e-07,-2.22321e-06,2.38906e-06,0.00238962,9.51725e-06,3260315.521001169,3545263.862166085,-4745480.863333436,-3133.447349,6469.416804,2681.12229,2504.325344,-3133.603242,6539.812543,6.450637804e-09,1.007014391e-07,4.53075759e-08,-0.781135,2.44867,393941,28676.4,35162.9,-26136.3,-27048.6,28678.7,34464.2,4.70542e-06,1,4.83698e+06,-3.26105e+06,-3.41868e+06,-28464.5,-34833.1,-7045.54,-5.48585e+10,-9.71211e+09,-1.36262e+11,-7.66449e+07,4.5922e+08,-1.88124e+06,-3.518e+07,-3.6081e+08,-1.36095e+08,-2.87594e+06,305991,-66484.6,-9.43308e-08,-4.91493e-23,-1.33465e-07,-1.17184e-08,6.62591e-08,-4.85872e-12,5.10705e-07,7.73751e-08,1.22273e-06,0,0,0,0,0,0,0.0496923,0.0405721,0.0213269,7.86656e-07,-2.28947e-06,2.52253e-06,-0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8500,0,0,0,8500,0,0,0,8500,0,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,0,0,0,0,0,0,-9.71208e+09,-1.34771e+11,-5.8422e+10,30212.7,-1708.61,-741.999,-3.57551e+08,-1.31583e+08,-4.34607e+07,430.854,-812.031,-447.832,6.35558e-06,0.0079593,5.52751e-05,0.492083,0.492034,0.507787,-0.507847,5.24683e-07,-3.61528e-06,3.43198e-06,0.00238782,9.50288e-06,3258591.435174915,3548821.455619265,-4744005.275768827,-3135.754134,6466.9065,2684.489964,2479.018283,-3135.959145,6548.324108,6.459076569e-09,1.008316112e-07,4.527379979e-08,-0.780829,2.44939,393934,28649.5,35196.4,-26104.3,-27167.5,28652.6,34379.8,4.70542e-06,1,4.85045e+06,-3.25947e+06,-3.40105e+06,-28403.7,-34818.9,-7137.92,-5.42615e+10,-9.71103e+09,-1.36501e+11,-7.6451e+07,4.57883e+08,-2.19156e+06,-3.4595e+07,-3.60808e+08,-1.3625e+08,-2.87357e+06,304853,-76331.8,-9.37989e-08,9.72502e-24,-1.33772e-07,-1.17376e-08,6.56528e-08,-4.80531e-12,5.04893e-07,7.74661e-08,1.2265e-06,0,0,0,0,0,0,0.0657981,0.0618557,0.0522244,6.3022e-07,-3.68093e-06,3.56576e-06,-0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8500,0,0,0,8500,0,0,0,8500,0,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,-9.71206e+09,-1.34771e+11,-5.8422e+10,30212.7,-1708.6,-741.997,-3.57551e+08,-1.31583e+08,-4.34609e+07,430.855,-812.03,-447.832,6.45813e-06,0.00795354,6.24526e-05,0.490977,0.490915,0.508854,-0.508932,-5.49015e-08,-3.70688e-06,3.05429e-06,0.0023861,9.48922e-06,3256866.207206074,3552377.407496317,-4742527.944392328,-3138.059535,6464.393856,2687.856353,2453.691092,-3138.321176,6556.730707,6.467184884e-09,1.010000883e-07,4.515251522e-08,-0.780522,2.45011,393927,28622.6,35229.9,-26072.3,-27286,28626.7,34295,4.70542e-06,1,4.86383e+06,-3.25791e+06,-3.38339e+06,-28343.8,-34803.2,-7232.54,-5.36638e+10,-9.7098e+09,-1.36737e+11,-7.6316e+07,4.56556e+08,-2.47652e+06,-3.40113e+07,-3.60805e+08,-1.36403e+08,-2.87116e+06,303739,-86185,-9.3267e-08,1.46793e-24,-1.34077e-07,-1.17564e-08,6.5042e-08,-4.75178e-12,4.99072e-07,7.75543e-08,1.23023e-06,0,0,0,0,0,0,0.0566501,0.0574165,0.0670346,5.0122e-08,-3.77192e-06,3.18837e-06,-0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8500,0,0,0,8500,0,0,0,8500,0,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
